E11	E22	P11	P12	P21	P22	S11	S12	S21	S22
2.31831759894093e-04	-1.89506934773256e-03	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
2.32073560682269e-03	-1.87887785391702e-02	-1.91041652760868e-03	-7.93492620405336e-14	-1.51526667103841e-13	-5.09296263439982e-03	-1.90599833021608e-03	-7.91657519538137e-14	-1.54456503718642e-13	-5.19143736950273e-03
4.64684456449374e-03	-3.72177461046618e-02	-2.38021267698664e-03	1.43333474744332e-05	1.10621559787867e-06	-7.48369019509043e-03	-2.36922870087006e-03	1.42672033235966e-05	1.14983740262191e-06	-7.77879729091804e-03
6.97832687301315e-03	-5.52869026964748e-02	-2.06959895801068e-03	3.19519491304074e-05	2.48346145206507e-06	-9.08547616490669e-03	-2.05530605797651e-03	3.17312851157441e-05	2.63331289267328e-06	-9.63369151602105e-03
9.31518253238092e-03	-7.29962483146092e-02	-1.32483877183499e-03	4.05156012923138e-05	1.20011089222036e-06	-1.01051038765135e-02	-1.31266746220283e-03	4.01433839789731e-05	1.29864525850196e-06	-1.09347772118165e-02
1.16574115425970e-02	-9.03457829590651e-02	-4.43797962679016e-04	4.83411202427674e-05	3.34143663943702e-06	-1.14928004160061e-02	-4.38713169707858e-04	4.77872542742430e-05	3.69155648177147e-06	-1.26970301841670e-02
1.40050139036615e-02	-1.07335506629842e-01	3.16680049387564e-04	5.49915486617317e-05	5.40359835829636e-06	-1.22552258952229e-02	3.12335988757701e-04	5.42372017365668e-05	6.09757635331992e-06	-1.38291506267436e-02
1.63579896155744e-02	-1.23965419326941e-01	1.20926602835370e-03	5.36969837312320e-05	2.54814979742659e-07	-1.33122594654365e-02	1.18995737244447e-03	5.28395904381767e-05	2.93829952415948e-07	-1.53505126316682e-02
1.87163386783356e-02	-1.40235521050361e-01	2.03831524263051e-03	6.20070322279220e-05	-6.08581030047622e-06	-1.45444359059673e-02	2.00120412987242e-03	6.08780851854443e-05	-7.17454348813452e-06	-1.71463918140173e-02
2.10800610919451e-02	-1.56145811800103e-01	2.83278502123470e-03	6.79404175845886e-05	-3.74153765248592e-07	-1.54268827683360e-02	2.77489396139705e-03	6.65519808517264e-05	-4.51178050093915e-07	-1.86027017042599e-02
2.34491568564030e-02	-1.71696291576165e-01	3.70788068536072e-03	1.07498120101792e-04	2.09623192962633e-05	-1.67499020055456e-02	3.62387743324421e-03	1.05062714960355e-04	2.58694049878097e-05	-2.06708996444313e-02
2.58236259717093e-02	-1.86886960378550e-01	4.48886213435123e-03	1.36035680383271e-04	3.16118088143929e-05	-1.78722357311899e-02	4.37724869118939e-03	1.32653217249853e-04	3.99469634079077e-05	-2.25846471159943e-02
2.82034684378639e-02	-2.01717818207256e-01	5.03814127243722e-03	1.71376159935244e-04	4.47845523870709e-05	-1.87353415405342e-02	4.90179019807030e-03	1.66738075716390e-04	5.79828535138349e-05	-2.42567694924663e-02
3.05886842548669e-02	-2.16188865062283e-01	5.73743097311974e-03	2.06385600079143e-04	6.43854229839124e-05	-1.99738104214017e-02	5.56959330558536e-03	2.00348180562943e-04	8.54590065970124e-05	-2.65113113723978e-02
3.29792734227183e-02	-2.30300100943631e-01	6.14317711762028e-03	2.51028818248364e-04	7.17691617633042e-05	-2.10374748329033e-02	5.95008101255970e-03	2.43138326710575e-04	9.77197807925245e-05	-2.86443004013276e-02
3.53752359414180e-02	-2.44051525851301e-01	6.25666292532852e-03	3.11656951221509e-04	7.55629632252178e-05	-2.16272713176454e-02	6.04642431402974e-03	3.01184543580501e-04	1.05613080528636e-04	-3.02280727196634e-02
3.77765718109660e-02	-2.57443139785293e-01	6.38972002522993e-03	2.76003961110303e-04	6.24072780118650e-05	-2.22396156267976e-02	6.16120830788255e-03	2.66133397314243e-04	8.96011248102870e-05	-3.19304837350965e-02
4.01832810313624e-02	-2.70474942745605e-01	6.36767922395619e-03	2.69985702866004e-04	4.10022959104725e-05	-2.30207191592953e-02	6.12626262300201e-03	2.59749786702557e-04	6.05171024023496e-05	-3.39772978025599e-02
4.25953636026072e-02	-2.83146934732240e-01	6.19082299569497e-03	2.60748422350100e-04	2.80901677626767e-05	-2.36658396464344e-02	5.94285795607344e-03	2.50304497055473e-04	4.26536845175192e-05	-3.59355368273180e-02
4.50128195247004e-02	-2.95459115745195e-01	6.10773195465762e-03	2.52883509731197e-04	1.29284312856381e-05	-2.38640517489171e-02	5.85007740671420e-03	2.42215624030606e-04	2.02134651064711e-05	-3.73111916417589e-02
4.74356487976418e-02	-3.07411485784472e-01	5.99447314295933e-03	2.95744794072140e-04	-1.64365693528003e-05	-2.46622418796221e-02	5.72887680771459e-03	2.82641268274293e-04	-2.64838419462728e-05	-3.97376667819908e-02

1.46956337478765e-03	-2.21602431228765e-03	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
1.47926739365482e-02	-2.19387676865482e-02	1.12913096949678e-04	2.76209528754148e-14	-3.10413849350260e-14	-4.53451579385679e-03	1.11278981628865e-04	2.72212133988748e-14	-3.17456576355903e-14	-4.63739572948387e-03
2.98009927368112e-02	-4.33853677368112e-02	9.90201759925112e-04	2.28695447612224e-05	1.93147984170422e-06	-7.97540308845787e-03	9.61949586266468e-04	2.22170369832752e-05	2.02115802291603e-06	-8.34569928723824e-03
4.50249564007890e-02	-6.43398001507891e-02	2.54792346482354e-03	5.63538417740638e-05	4.88160730392896e-06	-1.09502009764322e-02	2.44041219283737e-03	5.39759551169165e-05	5.22966535166683e-06	-1.17309490655148e-02
