u1	f1	u2	f2	u3	f3
17.300	170.399	17.300	167.370	17.300	173.718
17.400	169.513	17.400	166.274	17.400	173.310
17.500	169.022	17.500	166.372	17.500	172.802
17.600	168.995	17.600	165.897	17.600	172.260
17.700	167.703	17.700	165.938	17.700	171.782
17.800	166.769	17.800	165.478	17.800	171.373
17.900	166.891	17.900	165.551	17.900	170.876
18.000	166.661	18.000	165.430	18.000	170.500
18.100	166.639	18.100	163.587	18.100	170.101
18.200	165.450	18.200	164.827	18.200	169.657
18.300	163.882	18.300	163.683	18.300	169.156
18.400	163.566	18.400	164.297	18.400	168.855
18.500	163.264	18.500	163.646	18.500	168.593
18.600	161.561	18.600	163.637	18.600	168.234
18.700	161.559	18.700	163.194	18.700	167.819
18.800	158.645	18.800	161.638	18.800	167.398
18.900	158.434	18.900	162.398	18.900	167.043
19.000	158.310	19.000	161.116	19.000	166.746
19.100	156.370	19.100	161.784	19.100	166.404
19.200	154.710	19.200	161.024	19.200	166.183
19.300	152.574	19.300	160.820	19.300	165.746
19.400	151.439	19.400	160.298	19.400	165.480
19.500	147.122	19.500	159.892	19.500	165.767
19.600	144.989	19.600	159.435	19.600	166.031
19.700	141.247	19.700	158.956	19.700	166.381
19.800	138.945	19.800	158.172	19.800	166.530
19.900	135.793	19.900	156.713	19.900	166.656
20.000	133.840	20.000	156.056	20.000	166.774
20.100	132.273	20.100	155.384	20.100	166.646
20.200	131.306	20.200	155.457	20.200	166.809
20.300	128.360	20.300	154.288	20.300	166.553
20.400	127.166	20.400	153.587	20.400	166.336
20.500	125.881	20.500	152.729	20.500	166.005
20.600	124.955	20.600	152.158	20.600	166.174
20.700	123.940	20.700	150.809	20.700	166.560
20.800	123.618	20.800	150.198	20.800	166.669
20.900	123.136	20.900	149.404	20.900	166.944
21.000	122.761	21.000	148.816	21.000	167.024
21.100	122.390	21.100	148.541	21.100	167.422
21.200	122.148	21.200	147.613	21.200	167.713
21.300	122.016	21.300	146.855	21.300	168.187
21.400	122.186	21.400	146.296	21.400	168.675
21.500	122.500	21.500	145.585	21.500	169.283
21.600	122.780	21.600	145.044	21.600	169.883
21.700	122.959	21.700	144.496	21.700	170.385
21.800	123.197	21.800	143.970	21.800	170.966
21.900	122.676	21.900	143.503	21.900	171.589
22.000	121.940	22.000	143.483	22.000	172.449
22.100	121.481	22.100	142.987	22.100	173.176
22.200	121.464	22.200	143.028	22.200	173.786
22.300	122.113	22.300	143.042	22.300	174.566
22.400	122.799	22.400	143.352	22.400	175.290
22.500	123.427	22.500	143.744	22.500	176.099
22.600	123.994	22.600	144.032	22.600	176.837
22.700	124.873	22.700	144.073	22.700	177.841
22.800	126.137	22.800	144.231	22.800	178.775
22.900	127.447	22.900	144.461	22.900	179.926
23.000	129.159	23.000	144.642	23.000	179.617
23.100	131.073	23.100	144.666	23.100	181.354
23.200	133.150	23.200	145.160	23.200	183.511
23.300	135.266	23.300	145.267	23.300	185.521
23.400	137.390	23.400	146.084	23.400	186.728
23.500	139.148	23.500	146.612	23.500	189.328
23.600	141.351	23.600	147.259	23.600	190.328
23.700	143.437	23.700	147.858	23.700	193.185
23.800	146.429	23.800	148.506	23.800	194.329
23.900	149.598	23.900	149.102	23.900	194.135
24.000	153.161	24.000	150.049	24.000	195.824
24.100	157.161	24.100	151.648	24.100	197.566
24.200	161.200	24.200	153.224	24.200	199.396
24.300	165.543	24.300	155.391	24.300	199.235
24.400	169.748	24.400	157.309	24.400	200.149
24.500	174.324	24.500	159.544	24.500	201.365
24.600	178.794			24.600	202.279
24.700	183.713			24.700	202.180
24.800	188.302			24.800	204.053
24.900	192.829			24.900	205.222
25.000	196.345			25.000	206.907
25.100	200.443			25.100	208.721
25.200	203.997				
25.300	206.576				
25.400	209.387				
25.500	212.683				
25.600	214.288				
25.700	216.513				
25.800	218.666				
25.900	221.125				
26.000	223.535				
