u1	f1	u2	f2	u3	f3
21.341	801.772	21.341	850.594	21.341	901.435
21.381	805.738	21.381	853.699	21.381	908.862
21.421	809.620	21.421	856.640	21.421	916.320
21.461	813.584	21.461	860.606	21.461	923.952
21.502	817.708	21.502	863.947	21.502	930.483
21.542	821.012	21.542	867.376	21.542	937.648
21.582	825.039	21.582	870.574	21.582	944.086
21.622	828.596	21.622	873.898	21.622	951.239
21.662	832.424	21.662	876.876	21.662	958.513
21.702	836.510	21.702	881.012	21.702	964.287
21.742	840.151	21.742	884.751	21.742	969.999
21.782	843.654	21.782	889.066	21.782	976.342
21.822	847.658	21.822	893.252	21.822	980.507
21.862	851.826	21.862	898.063	21.862	985.818
21.902	856.497	21.902	902.548	21.902	990.822
21.942	860.170	21.942	906.620	21.942	995.383
21.982	865.047	21.982	911.439	21.982	1000.210
22.022	868.630	22.022	916.393	22.022	1006.431
22.062	872.133	22.062	921.150	22.062	1011.647
22.102	875.668	22.102	925.637	22.102	1016.804
22.142	879.021	22.142	930.342	22.142	1022.516
22.182	883.128	22.182	935.614	22.182	1028.319
22.222	886.512	22.222	940.821	22.222	1034.541
22.262	889.779	22.262	945.892	22.262	1040.929
22.302	893.504	22.302	951.386	22.302	1046.739
22.342	896.669	22.342	956.826	22.342	1053.447
22.382	899.772	22.382	963.539	22.382	1059.315
22.422	903.930	22.422	970.990	22.422	1067.203
22.462	907.263	22.462	979.235	22.462	1074.808
22.503	910.673	22.503	987.689	22.503	1082.531
22.543	914.457	22.543	995.826	22.543	1089.826
22.583	918.188	22.583	1004.852	22.583	1096.907
22.623	921.870	22.623	1013.603	22.623	1104.827
22.663	925.167	22.663	1022.339	22.663	1112.447
22.703	928.555	22.703	1030.647	22.703	1120.371
22.743	933.006	22.743	1038.508	22.743	1127.088
22.783	937.458	22.783	1047.378	22.783	1134.086
22.823	941.840	22.823	1055.878	22.823	1141.891
22.863	946.993	22.863	1064.826	22.863	1149.803
22.903	952.360	22.903	1073.463	22.903	1157.026
22.943	958.041	22.943	1082.440	22.943	1165.091
22.983	964.198	22.983	1091.462	22.983	1173.222
23.023	969.464	23.023	1100.474	23.023	1180.958
23.063	975.711	23.063	1108.833	23.063	1188.451
23.103	981.877	23.103	1117.099	23.103	1196.081
23.143	988.161	23.143	1125.405	23.143	1203.640
