u1	f1	u2	f2	u3	f3
5.6456	112.5966	5.6456	100.6939	5.6456	100.0000
5.6857	111.8000	5.6857	100.3022	5.6857	99.8000
5.7257	111.5980	5.7257	100.4000	5.7257	99.7017
5.7658	111.4978	5.7658	100.1869	5.7658	99.7942
5.8058	111.2879	5.8058	99.9028	5.8058	99.4915
5.8458	110.5079	5.8458	99.4939	5.8458	98.9915
5.8859	110.8915	5.8859	99.2055	5.8859	98.7030
5.9259	110.3909	5.9259	99.0000	5.9259	98.4109
5.9660	109.8808	5.9660	99.3964	5.9660	98.6853
6.0060	109.1034	6.0060	98.4847	6.0060	97.8812
6.0460	109.0927	6.0460	98.9071	6.0460	97.2033
6.0861	108.7885	6.0861	98.2925	6.0861	96.9071
6.1261	108.1965	6.1261	97.8000	6.1261	97.3000
6.1662	107.9850	6.1662	97.5046	6.1662	96.7824
6.2062	107.5778	6.2062	97.7000	6.2062	96.2959
6.2462	106.9046	6.2462	97.8818	6.2462	95.9870
6.2863	107.1913	6.2863	96.9000	6.2863	95.7091
6.3263	106.4899	6.3263	96.7891	6.3263	95.8686
6.3664	106.0738	6.3664	96.4258	6.3664	95.0054
6.4064	105.0891	6.4064	96.6000	6.4064	94.8051
6.4464	104.5113	6.4464	96.3940	6.4464	94.3893
6.4865	104.6825	6.4865	95.6688	6.4865	94.0000
6.5265	104.2819	6.5265	94.8178	6.5265	93.9771
6.5666	103.5688	6.5666	95.2939	6.5666	93.3881
6.6066	102.9940	6.6066	95.1932	6.6066	92.8939
6.6466	102.4735	6.6466	94.7070	6.6466	92.6810
6.6867	102.1205	6.6867	95.1731	6.6867	92.2804
6.7267	101.7719	6.7267	94.1069	6.7267	91.8933
6.7668	100.9933	6.7668	94.0695	6.7668	91.7792
6.8068	100.6000	6.8068	93.3922	6.8068	91.5772
6.8468	100.5847	6.8468	93.1849	6.8468	90.7779
6.8869	100.1608	6.8869	92.4845	6.8869	90.4075
6.9269	99.3679	6.9269	92.4831	6.9269	90.6381
6.9670	98.3000	6.9670	92.2568	6.9670	89.4664
7.0070	98.4663	7.0070	92.0749	7.0070	89.1081
7.0470	97.5395	7.0470	91.6743	7.0470	88.6833
7.0871	96.8000	7.0871	91.6723	7.0871	88.6744
7.1271	96.8000	7.1271	91.4094	7.1271	88.1353
7.1672	96.5538	7.1672	91.0726	7.1672	87.0906
7.2072	95.8717	7.2072	90.5093	7.2072	86.8183
7.2472	95.3000	7.2472	90.6700	7.2472	86.7720
7.2873	94.5812	7.2873	90.2593	7.2873	86.2000
7.3273	93.9498	7.3273	89.5702	7.3273	85.9805
7.3674	93.3102	7.3674	88.9797	7.3674	85.6099
7.4074	93.4601	7.4074	88.8783	7.4074	85.4392
7.4474	92.1894	7.4474	88.8779	7.4474	84.6690
7.4875	92.4217	7.4875	88.6678	7.4875	84.2451
7.5275	92.0558	7.5275	88.2560	7.5275	83.5000
7.5676	91.5438	7.5676	87.9233	7.5676	83.4672
7.6076	90.7657	7.6076	88.0408	7.6076	83.1884
7.6476	89.9349	7.6476	87.5116	7.6476	83.2645
7.6877	89.9763	7.6877	87.5528	7.6877	82.5769
7.7277	89.6759	7.7277	87.0876	7.7277	81.7648
7.7678	89.3633	7.7678	87.0623	7.7678	81.5505
7.8078	88.6502	7.8078	86.4000	7.8078	81.3879
7.8478	87.7874	7.8478	86.5749	7.8478	80.9000
7.8879	87.4248	7.8879	86.3605	7.8879	80.5749
7.9279	87.4748	7.9279	85.7741	7.9279	79.9490
7.9680	86.8603	7.9680	85.6000	7.9680	79.8129
8.0080	86.1731	8.0080	85.3464	8.0080	79.9869
8.0480	85.9000	8.0480	85.1281	8.0480	79.2600
8.0881	85.8000	8.0881	85.0715	8.0881	78.7860
8.1281	85.5438	8.1281	85.0440	8.1281	78.7433
8.1682	84.8288	8.1682	84.6858	8.1682	78.3582
8.2082	84.2144	8.2082	84.3703	8.2082	78.2141
8.2482	84.2707	8.2482	83.9850	8.2482	77.9262
8.2883	84.1703	8.2883	83.9705	8.2883	77.2850
8.3283	83.7699	8.3283	83.6399	8.3283	77.0000
8.3684	83.3000	8.3684	83.3533	8.3684	77.1552
8.4084	83.2850	8.4084	83.0685	8.4084	76.8394
8.4484	83.0531	8.4484	82.9466	8.4484	76.8847
8.4885	83.3158	8.4885	82.5630	8.4885	76.7378
8.5285	82.8845	8.5285	83.2178	8.5285	75.7630
8.5686	82.7842	8.5686	83.0168	8.5686	76.3836
8.6086	82.5000	8.6086	82.1836	8.6086	76.1839
8.6486	82.4834	8.6486	82.1496	8.6486	75.9673
8.6887	82.1000	8.6887	82.2173	8.6887	75.9166
8.7287	82.0834	8.7287	82.0302	8.7287	75.8138
8.7688	81.6828	8.7688	81.6172	8.7688	75.2826
8.8088	82.0349	8.8088	81.7477	8.8088	75.3029
8.8488	82.0824	8.8488	81.1181	8.8488	75.4653
8.8889	82.0108	8.8889	81.5000	8.8889	75.2459
8.9289	81.6181	8.9289	81.2541	8.9289	75.1363
8.9690	81.8547	8.9690	81.2453	8.9690	75.6538
9.0090	82.3000	9.0090	81.3189	9.0090	75.4274
9.0490	82.0000	9.0490	81.3190	9.0490	74.9563
9.0891	82.1377	9.0891	81.5125	9.0891	75.3186
9.1291	82.9429	9.1291	82.1381	9.1291	75.4625
9.1692	82.6375	9.1692	81.7805	9.1692	75.4190
9.2092	82.7429	9.2092	81.4395	9.2092	75.6383
9.2492	83.0589	9.2492	81.5586	9.2492	75.6839
9.2893	83.5802	9.2893	81.3595	9.2893	74.9782
9.3293	83.1601	9.3293	81.8000	9.3293	75.7397
9.3694	83.5798	9.3694	81.5794	9.3694	75.8796
9.4094	83.5636	9.4094	81.5417	9.4094	75.8206
9.4494	84.4413	9.4494	81.6380	9.4494	76.1407
9.4895	84.3417	9.4895	81.1788	9.4895	76.1822
9.5295	84.7000	9.5295	81.3213	9.5295	76.7788
9.5696	84.9000	9.5696	81.9000	9.5696	76.7787
9.6096	85.4858	9.6096	82.0000	9.6096	76.7789
9.6496	85.9850	9.6496	81.7662	9.6496	77.0641
9.6897	86.0073	9.6897	82.4221	9.6897	77.7000
9.7297	86.9221	9.7297	82.4659	9.7297	77.4000
9.7698	87.0221	9.7698	82.6555	9.7698	77.8781
9.8098	87.4098	9.8098	82.6457	9.8098	78.1665
9.8498	87.9558	9.8498	82.9309	9.8498	78.5773
9.8899	88.6143	9.8899	82.7698	9.8899	78.7229
9.9299	89.0461	9.9299	83.3704	9.9299	78.9910
9.9700	89.3233	9.9700	83.4237	9.9700	79.9615
10.0100	89.5938	10.0100	83.7000	10.0100	80.3527
