u_el	f_el	u_ev	f_ev	u_ep	f_ep
13.905	1204.610	17.820	1502.100	13.905	738.121
13.950	1207.230	17.910	1509.570	13.950	737.187
13.995	1209.970	18.000	1517.410	13.995	736.724
14.040	1212.520	18.090	1525.790	14.040	737.776
14.085	1215.210	18.180	1534.000	14.085	736.626
14.130	1217.650	18.270	1542.940	14.130	736.537
14.175	1220.320	18.360	1551.330	14.175	735.434
14.220	1222.630	18.450	1560.590	14.220	735.007
14.265	1225.270	18.540	1570.090	14.265	734.343
14.310	1227.490	18.630	1580.260	14.310	733.635
14.355	1230.100	18.720	1591.330	14.355	731.682
14.400	1232.210	18.810	1603.310	14.400	731.767
14.445	1234.860	18.900	1615.740	14.445	730.417
14.490	1236.850	18.990	1628.920	14.490	729.734
14.535	1239.470	19.080	1642.620	14.535	728.433
14.580	1241.300	19.170	1656.420	14.580	727.802
14.625	1244.240	19.260	1670.150	14.625	726.584
14.670	1245.560	19.350	1683.970	14.670	725.974
14.715	1249.060	19.440	1697.370	14.715	724.641
14.760	1249.880	19.530	1711.680	14.760	723.304
14.805	1253.930	19.620	1725.760	14.805	722.401
14.850	1254.350	19.710	1740.200	14.850	720.123
14.895	1258.410	19.800	1754.990	14.895	718.654
14.940	1258.580	19.890	1769.070	14.940	716.184
14.985	1262.840	19.980	1783.370	14.985	716.187
15.030	1262.900	20.070	1798.000	15.030	715.382
15.075	1267.110	20.160	1813.850	15.075	716.359
15.120	1267.120	20.250	1829.930	15.120	715.825
15.165	1271.290	20.340	1848.090	15.165	716.585
15.210	1271.380	20.430	1865.240	15.210	715.795
15.255	1275.360	20.520	1881.510	15.255	716.414
15.300	1275.580	20.610	1897.710	15.300	715.330
15.345	1279.240	20.700	1914.930	15.345	716.246
15.390	1279.770	20.790	1931.390	15.390	714.986
15.435	1282.390	20.880	1947.250	15.435	716.009
15.480	1283.200	20.970	1967.640	15.480	714.396
15.525	1285.920	21.060	1980.310	15.525	715.518
15.570	1286.950	21.150	2002.910	15.570	714.421
15.615	1289.550	21.240	2012.460	15.615	715.610
15.660	1290.560	21.330	2037.190	15.660	714.463
15.705	1292.830	21.420	2042.670	15.705	715.807
15.750	1293.920	21.510	2070.230	15.750	714.665
15.795	1296.330	21.600	2071.540	15.795	715.804
15.840	1297.280	21.690	2101.400	15.840	714.858
15.885	1299.580	21.780	2098.740	15.885	716.303
15.930	1300.260	21.870	2129.960	15.930	715.132
15.975	1303.110	21.960	2125.450	15.975	717.123
16.020	1303.730	22.050	2156.690	16.020	716.159
16.065	1306.340	22.140	2150.410	16.065	717.965
16.110	1306.770	22.230	2179.930	16.110	717.193
16.155	1309.590	22.320	2172.850	16.155	718.960
16.200	1310.050	22.410	2200.930	16.200	718.398
16.245	1312.850	22.500	2193.420	16.245	719.915
16.290	1312.950	NaN	NaN	16.290	718.462
16.335	1315.520	NaN	NaN	16.335	721.180
16.380	1315.880	NaN	NaN	16.380	720.091
16.425	1318.560	NaN	NaN	16.425	722.954
16.470	1318.400	NaN	NaN	16.470	722.137
16.515	1320.740	NaN	NaN	16.515	725.342
16.560	1320.780	NaN	NaN	16.560	724.129
16.605	1323.430	NaN	NaN	16.605	727.779
16.650	1323.310	NaN	NaN	16.650	727.049
16.695	1325.980	NaN	NaN	16.695	730.919
